id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_raw,m_time,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Strain,Other Variables,notes,mice900_keep
1,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,875,36,,,median,N,days,figure 2,mice,Percent Reduction,Dietary restriction,CR-spread,male,C57BL/6J,None,,N
2,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,942,36,,,median,N,days,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-day-12h,male,C57BL/6J,None,,N
3,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,959,36,,,median,N,days,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-day-02h,male,C57BL/6J,None,,Y
4,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,1058,36,,,median,N,days,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-night-12h,male,C57BL/6J,None,,Y
5,"Acosta, Victoria and Acosta-RodraGuez, Victoria and Rijo-Ferreira, Filipa and Izumo, Mariko and Xu, Pin and Wight-Carter, Mary and Green, Carla and Takahashi, Joseph",circadian alignment of early onset caloric restriction promotes longevity in male c57Bl/6J mice,2022,792,43,,,1068,36,,,median,N,days,figure 2,mice,Percent Reduction + Fasted,Dietary restriction,CR-night-02h,male,C57BL/6J,None,,Y
6,"Aires, D. J. and Rockwell, G. and Wang, T. and Frontera, J. and Wick, J. and Wang, W. and Tonkovic-Capin, M. and Lu, J. and E, L. and Zhu, H. and Swerdlow, R. H.",Potentiation of dietary restriction-induced lifespan extension by polyphenols,2012,24.08,12,4.21,1.21,28.89,68,5.7,0.69,mean,N,months,figure 1B boxplot,mice,Fasted,Dietary restriction,IF,male,C57BL/6 mice,None,,N
7,"Aires, D. J. and Rockwell, G. and Wang, T. and Frontera, J. and Wick, J. and Wang, W. and Tonkovic-Capin, M. and Lu, J. and E, L. and Zhu, H. and Swerdlow, R. H.",Potentiation of dietary restriction-induced lifespan extension by polyphenols,2012,23,12,,,31.5,68,,,median,N,months,table 1,mice,Fasted,Dietary restriction,IF,male,C57BL/6 mice,None,,Y
8,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V. and Provinciali, M. and Re, F. and Franceschi, C.",Effect of metformin on life span and on the development of spontaneous mammary tumors in HER-2/neu transgenic mice,2005,264,34,20.40833163,3.5,285,32,29.4156421,5.2,mean,N,days,table 4,mice,Metformin,Metformin,Metformin,female,HER-2/neu mice,Breast Cancer Gene,,N
9,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V. and Provinciali, M. and Re, F. and Franceschi, C.",Effect of metformin on life span and on the development of spontaneous mammary tumors in HER-2/neu transgenic mice,2005,264,34,,,282,32,,,median,N,days,table 4 + fig 1,mice,Metformin,Metformin,Metformin,female,HER-2/neu mice,Breast Cancer Gene,,N
10,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Yurova, M. V. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V.",Metformin slows down aging and extends life span of female SHR mice,2008,388,50,206.4751801,29.2,535,50,225.5670632,31.9,mean,N,days,Table3 ,mice,Metformin,Metformin,Metformin,female,SHR mice,None,,N
11,"Anisimov, V. N. and Berstein, L. M. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Yurova, M. V. and Kovalenko, I. G. and Poroshina, T. E. and Semenchenko, A. V.",Metformin slows down aging and extends life span of female SHR mice,2008,297,50,,,570,50,,,median,N,days,Table3 ,mice,Metformin,Metformin,Metformin,female,SHR mice,None,,N
12,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,511,119,,,583,51,,,mean,N,days,table 3,mice,Metformin,Metformin,MF-3,female,outbred SHR mice,None,cant use error as not sure if SD or SE,N
13,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,583,97,,,619,45,,,mean,N,days,table 3,mice,Metformin,Metformin,MF-9,female,outbred SHR mice,None,,N
14,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,668,69,,,647,33,,,mean,N,days,table 3,mice,Metformin,Metformin,MF-15,female,outbred SHR mice,None,cant use error as not sure if SD or SE,N
15,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,525,119,,,617,51,,,median,N,days,table 3,mice,Metformin,Metformin,MF-3,female,outbred SHR mice,None,,N
16,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,591,97,,,630,45,,,median,N,days,table 3,mice,Metformin,Metformin,MF-9,female,outbred SHR mice,None,cant use error as not sure if SD or SE,N
17,"Anisimov, V. N. and Berstein, L. M. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Kovalenko, I. G. and Poroshina, T. E.","If started early in life, metformin treatment increases life span and postpones tumors in female SHR mice",2011,636,69,,,636,33,,,median,N,days,table 3,mice,Metformin,Metformin,MF-15,female,outbred SHR mice,None,,N
18,"Anisimov, V. N. and Egormin, P. A. and Bershtein, L. M. and Zabezhinskii, M. A. and Piskunova, T. S. and Popovich, I. G. and Semenchenko, A. V.",Metformin decelerates aging and development of mammary tumors in HER-2/neu transgenic mice,2005,264,34,,,285,32,,,mean,N,days,Table1: Mean + SS,mice,Metformin,Metformin,Metformin,female,HER-2/neu Transgenic Mouse,Breast Cancer Gene,cant use error as not sure if SD or SE,N
